,Unnamed: 0,nm_uf,nm_micro,lng,lat
133,133,PARAÍBA,CARIRI OCIDENTAL,-36.86279807184435,-7.71474248599551
134,134,PARAÍBA,CARIRI ORIENTAL,-36.18790599997751,-7.539278172676503
135,135,CEARÁ,CARIRIACU,-39.45393168605067,-6.945529334290315
136,136,CEARÁ,CASCAVEL,-38.14572811794418,-4.315438811717379
137,137,PARANÁ,CASCAVEL,-53.2585163984552,-25.00865736268679
138,138,MATO GROSSO DO SUL,CASSILANDIA,-52.50954798737324,-18.865355299359727
139,139,PARÁ,CASTANHAL,-48.03366457789749,-1.3061863666039766
140,140,MINAS GERAIS,CATAGUASES,-42.59242402796608,-21.562250038038755
141,141,GOIÁS,CATALAO,-47.99157348283197,-17.972169753720042
142,142,SAO PAULO,CATANDUVA,-48.905443755304546,-21.087423165315567
143,143,PARAÍBA,CATOLE DO ROCHA,-37.68158371605629,-6.404575379749521
144,144,BAHIA,CATU,-38.35898706688275,-12.435167808591947
145,145,MARANHÃO,CAXIAS,-43.39858670211141,-5.2522141658772385
146,146,RIO GRANDE DO SUL,CAXIAS DO SUL,-51.42076747215004,-29.120954378534336
147,147,GOIÁS,CERES,-49.57525070197214,-15.211245316577866
148,148,PARANÁ,CERRO AZUL,-49.0920111136453,-24.70234830658092
149,149,RIO GRANDE DO SUL,CERRO LARGO,-54.82274588295247,-28.0969653299914
150,150,RIO GRANDE DO NORTE,CHAPADA DO APODI,-37.678119841835226,-5.540536005797319
151,151,CEARÁ,CHAPADA DO ARARIPE,-40.16780172692593,-7.063590693089999
152,152,GOIÁS,CHAPADA DOS VEADEIROS,-47.34503881789235,-13.729414851009293
153,153,MARANHÃO,CHAPADAS DAS MANGABEIRAS,-45.289271584530894,-7.006049176369253
154,154,MARANHÃO,CHAPADAS DO ALTO ITAPECURU,-43.97149396330572,-6.235689959390818
155,155,PIAUÍ,CHAPADAS DO EXTREMO SUL PIAUIENSE,-44.49621501244229,-10.288879262243253
156,156,MARANHÃO,CHAPADINHA,-43.08522747405898,-3.634071427566069
157,157,SANTA CATARINA,CHAPECO,-52.96308802784858,-26.82952289423871
158,158,CEARÁ,CHOROZINHO,-38.55969465008417,-4.392845458501664
159,159,PARANÁ,CIANORTE,-52.725261087719964,-23.601438308926358
160,160,AMAZONAS,COARI,-61.996505780481556,-3.898304697795181
161,161,MARANHÃO,CODO,-44.13314369322675,-4.447531605715615
162,162,MARANHÃO,COELHO NETO,-43.15835186182011,-4.2253765846639535
163,163,ESPÍRITO SANTO,COLATINA,-40.74468640326938,-19.337819146417626
164,164,RONDÔNIA,COLORADO DO OESTE,-60.79295066127807,-13.206030880166663
165,165,MATO GROSSO,COLIDER,-55.01420483088333,-10.36924992329075
166,166,PARÁ,CONCEICAO DO ARAGUAIA,-49.85145446789242,-8.485845571860242
167,167,MINAS GERAIS,CONCEICAO DO MATO DENTRO,-43.38485458825339,-18.83032371983456
168,168,SANTA CATARINA,CONCORDIA,-52.12812994336886,-27.21684931986197
169,169,MINAS GERAIS,CONSELHEIRO LAFAIETE,-43.847139700858534,-20.646013109588576
170,170,CEARÁ,COREAU,-40.68246894524812,-3.5239630295895483
171,171,PARANÁ,CORNELIO PROCOPIO,-50.56866861125832,-23.177796138361828
172,172,BAHIA,COTEGIPE,-44.180244873902815,-11.894693123512775
173,173,SERGIPE,COTINGUIBA,-37.08490092382285,-10.56956108353517
174,174,SANTA CATARINA,CRICIUMA,-49.42669279459856,-28.61676147005821
175,175,RIO GRANDE DO SUL,CRUZ ALTA,-53.12787706556608,-28.831849584028696
176,176,ACRE,CRUZEIRO DO SUL,-72.81341646914503,-7.862995780461817
177,177,MATO GROSSO,CUIABA,-55.98298274276613,-15.673359450437989
178,178,PARAÍBA,CURIMATAU OCIDENTAL,-36.10540147112897,-6.797126917734362
179,179,PARAÍBA,CURIMATAU ORIENTAL,-35.71414382323221,-6.591665032103014
180,180,PARANÁ,CURITIBA,-49.31448955158557,-25.42987819712722
181,181,SANTA CATARINA,CURITIBANOS,-50.94632409003461,-27.328397168908186
182,182,MINAS GERAIS,CURVELO,-44.38675930256972,-18.536405720741296
183,183,MINAS GERAIS,DIAMANTINA,-43.56198795969252,-18.167590317657424
184,184,TOCANTINS,DIANOPOLIS,-47.297923562984884,-12.072476161711144
185,185,MINAS GERAIS,DIVINOPOLIS,-44.87106998731808,-20.03913500098424
186,186,MATO GROSSO DO SUL,DOURADOS,-54.96480205864591,-22.199082531111497
187,187,SAO PAULO,DRACENA,-51.66124265694787,-21.389809322923426
188,188,GOIÁS,ENTORNO DE BRASILIA,-48.11940490204371,-15.770842076040852
189,189,BAHIA,ENTRE RIOS,-37.80275863330328,-11.853261566995904
190,190,RIO GRANDE DO SUL,ERECHIM,-52.34064896367176,-27.565792802969828
191,191,PARAÍBA,ESPERANCA,-35.886866915769296,-7.038125925971397
192,192,SERGIPE,ESTANCIA,-37.432193197382006,-11.241144159619227
193,193,BAHIA,EUCLIDES DA CUNHA,-39.17891388133954,-10.601609073112416
194,194,PARANÁ,FAXINAL,-51.576219003183404,-23.860943630925732
195,195,BAHIA,FEIRA DE SANTANA,-39.247618520056406,-12.255488491481955
196,196,PERNAMBUCO,FERNANDO DE NORONHA,-32.4351863280529,-3.85202140078181
197,197,SAO PAULO,FERNANDOPOLIS,-50.2558072831475,-20.096850707747517
198,198,PARANÁ,FLORAI,-52.204209495505715,-23.534256564359712
199,199,PIAUÍ,FLORIANO,-43.09314267952999,-7.35806737980899
200,200,SANTA CATARINA,FLORIANOPOLIS,-48.578561748876716,-27.553748998750272
201,201,MINAS GERAIS,FORMIGA,-45.40729356476317,-20.45904888988661
202,202,CEARÁ,FORTALEZA,-38.66715755250542,-3.94841591008148
203,203,PARANÁ,FOZ DO IGUACU,-54.15053068527555,-25.228383369096953
204,204,SAO PAULO,FRANCA,-47.434241259667104,-20.357958685757296
205,205,PARANÁ,FRANCISCO BELTRAO,-53.201646419075686,-25.97258675829489
206,206,SAO PAULO,FRANCO DA ROCHA,-46.604332948309754,-23.332451172857514
207,207,RIO GRANDE DO SUL,FREDERICO WESTPHALEN,-53.18651860160531,-27.4140678847029
208,208,MINAS GERAIS,FRUTAL,-49.602417300201644,-19.9569989873814
209,209,PARÁ,FUROS DE BREVES,-50.4159060132403,-1.2824705634796674
210,210,PERNAMBUCO,GARANHUNS,-36.478661355270226,-8.939834507413762
211,211,MARANHÃO,GERAIS DE BALSAS,-46.38041784484661,-7.83049733358329
212,212,PARANÁ,GOIOERE,-52.85857197040816,-24.373339761002626
213,213,GOIÁS,GOIANIA,-49.22224678218157,-16.685395026783777
214,214,MINAS GERAIS,GOVERNADOR VALADARES,-41.90117774656726,-18.744626324548914
215,215,RIO GRANDE DO SUL,GRAMADO-CANELA,-50.89226313181834,-29.537335842152565
216,216,MINAS GERAIS,GRAO MOGOL,-42.88401688304814,-16.58894223878295
217,217,RONDÔNIA,GUAJARA-MIRIM,-64.53170540554488,-11.609560153406468
218,218,PARÁ,GUAMA,-46.964680850420606,-1.8200701751028423
219,219,BAHIA,GUANAMBI,-42.785584981998774,-14.328575812884473
220,220,MINAS GERAIS,GUANHAES,-42.809919564150185,-18.739436029473687
221,221,RIO GRANDE DO SUL,GUAPORE,-51.90589874822093,-28.802762263370838
222,222,PARAÍBA,GUARABIRA,-35.434670957632804,-6.824692831793492
223,223,ESPÍRITO SANTO,GUARAPARI,-40.75591177062008,-20.673667683199266
224,224,PARANÁ,GUARAPUAVA,-51.97201832672943,-25.478643474364162
225,225,SAO PAULO,GUARATINGUETA,-45.08250528070708,-22.68437861168729
226,226,SAO PAULO,GUARULHOS,-46.27507162427274,-23.33819233321964
227,227,MARANHÃO,GURUPI,-45.78956440295906,-1.8062512252433456
228,228,TOCANTINS,GURUPI,-48.789360453169316,-12.005430100885324
229,229,PARANÁ,IBAITI,-50.30732118741705,-23.82306632740738
230,230,CEARÁ,IBIAPABA,-40.9491839163678,-3.982654939568608
231,231,MATO GROSSO DO SUL,IGUATEMI,-54.38501204493014,-23.03618177385281
232,232,CEARÁ,IGUATU,-39.02930062016159,-6.371186317641497
233,233,RIO GRANDE DO SUL,IJUI,-53.82344163410382,-28.17263901094004
234,234,BAHIA,ILHEUS-ITABUNA,-39.3784110543011,-14.746331382067456
235,235,MARANHÃO,IMPERATRIZ,-47.23889000708231,-5.295270123150838
236,236,MINAS GERAIS,IPATINGA,-42.573425127484754,-19.35644980555209
237,237,GOIÁS,IPORA,-50.86029428203185,-16.39243662833981
238,238,CEARÁ,IPU,-40.740451358073685,-4.414258734954017
239,239,PARANÁ,IRATI,-50.7945476981285,-25.677838700556716
240,240,BAHIA,IRECE,-41.86849720263963,-11.549242310520501
241,241,PARAÍBA,ITABAIANA,-35.49058539142638,-7.295392195871493
242,242,BAHIA,ITABERABA,-40.44281798407388,-12.21713736895356
243,243,MINAS GERAIS,ITABIRA,-43.21454462961402,-19.736644059875484
244,244,AMAZONAS,ITACOATIARA,-58.54718180816454,-3.173794641173469
245,245,MINAS GERAIS,ITAGUARA,-44.22575022775674,-20.352015111624286
246,246,RIO DE JANEIRO,ITAGUAI,-43.894942601099366,-22.874269558005018
247,247,PARÁ,ITAITUBA,-55.99533946338283,-5.194427365431432
248,248,SANTA CATARINA,ITAJAI,-48.71476855257275,-26.83747642412893
249,249,MINAS GERAIS,ITAJUBA,-45.411264961133796,-22.414871814942657
250,250,PERNAMBUCO,ITAMARACA,-34.949558572821886,-7.805004782184031
251,251,SAO PAULO,ITANHAEM,-46.93788277175216,-24.2054121867661
252,252,PERNAMBUCO,ITAPARICA,-38.440069378463036,-8.735734440829757
253,253,SAO PAULO,ITAPECERICA DA SERRA,-46.930714666771266,-23.759444562464857
254,254,MARANHÃO,ITAPECURU MIRIM,-44.189046832848966,-3.506289846819666
255,255,ESPÍRITO SANTO,ITAPEMIRIM,-40.92968809018458,-21.04433816715018
256,256,RIO DE JANEIRO,ITAPERUNA,-41.863061315820076,-21.151564773880587
257,257,BAHIA,ITAPETINGA,-40.41557498289588,-15.500241775816034
258,258,SAO PAULO,ITAPETININGA,-48.14687395611265,-23.5874047519511
259,259,SAO PAULO,ITAPEVA,-49.09739279305303,-23.83175102900849
260,260,CEARÁ,ITAPIPOCA,-39.535181403952095,-3.2726159336543668
261,261,PARAÍBA,ITAPORANGA,-38.33249408551078,-7.4381154755656995
262,262,MINAS GERAIS,ITUIUTABA,-49.89246150215701,-18.85681383543612
263,263,SANTA CATARINA,ITUPORANGA,-49.592295393200104,-27.473919720323305
264,264,SAO PAULO,ITUVERAVA,-47.80530144057534,-20.23981011861089
265,265,PARANÁ,IVAIPORA,-51.64600430674886,-24.25995246057105
266,266,SAO PAULO,JABOTICABAL,-48.44885120443689,-21.15558498763437
267,267,PARANÁ,JACAREZINHO,-50.006056571240975,-23.225959626759273
268,268,BAHIA,JACOBINA,-40.591992642001664,-11.234225237017288
269,269,PARANÁ,JAGUARIAIVA,-49.72975470456459,-24.21221515606152
270,270,RIO GRANDE DO SUL,JAGUARAO,-53.26882652497624,-32.06800880367411
